Time_1,user,likes_count,url,howOld
0000/01/01 16:17:02,nomper,0,https://qiita.com/nomper/items/45e47434f746d852acd4,3
0000/01/02 20:57:22,tomoyakamimura,4,https://qiita.com/tomoyakamimura/items/3d6c3c628dc05ba21881,-1
0000/01/03 15:21:10,motorcontrolman,34,https://qiita.com/motorcontrolman/items/272f2514b933a493e95e,-1
0000/01/03 23:43:04,stozaki,5,https://qiita.com/stozaki/items/bad07d0e6e1c571dfc47,0
0000/01/04 07:00:03,stktu_KU,5,https://qiita.com/stktu_KU/items/51c144401ad8a284e1b1,0
0000/01/04 13:04:30,UT_MATLAB_Amb,2,https://qiita.com/UT_MATLAB_Amb/items/3b41d3582b1ec86c6fbb,-1
0000/01/04 23:23:47,eigs,6,https://qiita.com/eigs/items/06ea997ec0472ab88371,-1
0000/01/05 11:29:30,tommyecguitar,31,https://qiita.com/tommyecguitar/items/d65082968466c18e5bab,0
0000/01/06 05:47:24,eigs,63,https://qiita.com/eigs/items/c6efb11c145e4e0e8577,0
0000/01/06 21:50:44,tommyecguitar,12,https://qiita.com/tommyecguitar/items/09dcebde31122990a899,0
0000/01/08 02:08:08,larking95,11,https://qiita.com/larking95/items/70d24ac9a78d56d53dff,0
0000/01/08 12:40:31,sshojiro,3,https://qiita.com/sshojiro/items/63c41a4fee39c4cd369c,4
0000/01/09 05:35:28,katsu1110,21,https://qiita.com/katsu1110/items/10ae4a62cfd37e37cd0b,3
0000/01/09 13:21:09,uqiitam,6,https://qiita.com/uqiitam/items/7cc30e8e2f6aa63b3704,0
0000/01/09 15:26:47,Ushiron55,4,https://qiita.com/Ushiron55/items/5f8cd1aaa734e2e5dcf4,0
0000/01/11 15:19:46,tommyecguitar,15,https://qiita.com/tommyecguitar/items/51d6466bc80829fe4e4d,0
0000/01/13 00:38:49,kouichi-c-nakamura,8,https://qiita.com/kouichi-c-nakamura/items/6d3e0ab9eaee1e5381c4,3
0000/01/13 05:44:32,eigs,19,https://qiita.com/eigs/items/298398ca2c750beb392c,0
0000/01/13 22:10:57,mana_544,89,https://qiita.com/mana_544/items/3fe4d150441b12d89ebf,0
0000/01/13 23:34:02,shun-kusano,8,https://qiita.com/shun-kusano/items/3e95a6b0f4074807a684,0
0000/01/14 20:15:45,KingBritain,67,https://qiita.com/KingBritain/items/9b238ce9be7ad5212a5a,0
0000/01/15 00:51:06,y_kmori,6,https://qiita.com/y_kmori/items/15ac88f82daff88693eb,0
0000/01/15 13:39:31,kassiwan,2,https://qiita.com/kassiwan/items/30401ad96e05908343d2,2
0000/01/15 18:18:01,teruqii,4,https://qiita.com/teruqii/items/cd6e390cff80d6686c69,0
0000/01/15 19:14:13,tomochiii,6,https://qiita.com/tomochiii/items/2145ee7a23f5dd4cff9a,3
0000/01/16 01:53:59,stozaki,8,https://qiita.com/stozaki/items/ecc2fd157ea7c97a50d1,0
0000/01/16 16:44:17,sshojiro,2,https://qiita.com/sshojiro/items/5e2419a90a681658088a,5
0000/01/16 16:47:07,analogchiffon,2,https://qiita.com/analogchiffon/items/90ed5c7eaf5bc25ad2ca,1
0000/01/17 02:14:46,kouichi-c-nakamura,2,https://qiita.com/kouichi-c-nakamura/items/dd4706fd5d74cbfca2d4,2
0000/01/17 17:58:20,teruqii,13,https://qiita.com/teruqii/items/28b805eb0b2c3fd1b0b3,0
0000/01/17 22:33:05,yt_siden,3,https://qiita.com/yt_siden/items/10738f3e728440bb9f95,3
0000/01/18 15:01:48,taka_horibe,279,https://qiita.com/taka_horibe/items/47f86e02e2db83b0c570,1
0000/01/18 19:26:26,sshojiro,1,https://qiita.com/sshojiro/items/05af0e6375408852d86e,5
0000/01/18 22:03:04,tommyecguitar,56,https://qiita.com/tommyecguitar/items/dd4bd50f2b5f3ba26031,0
0000/01/19 21:22:51,Seiji_Tanaka,4,https://qiita.com/Seiji_Tanaka/items/8bef0deefb661d36abbe,1
0000/01/20 16:41:51,eigs,18,https://qiita.com/eigs/items/cb48fdcd741126d09def,0
0000/01/21 18:37:17,eigs,51,https://qiita.com/eigs/items/62fbc0b6bdc5e7094abf,0
0000/01/23 15:31:08,konakalab,26,https://qiita.com/konakalab/items/2c3117a8bf2b849047b5,0
0000/01/25 10:53:44,rysk-t,10,https://qiita.com/rysk-t/items/b42cbeadda8fcd619e80,4
0000/01/26 20:30:46,jellied_unagi,0,https://qiita.com/jellied_unagi/items/6e606f211021c5540c33,7
0000/01/27 00:39:15,stozaki,4,https://qiita.com/stozaki/items/096f1a04c158d61f8246,0
0000/01/28 03:56:19,stozaki,19,https://qiita.com/stozaki/items/e4fa14c36f6c134e53e7,0
0000/01/28 22:10:03,katsu1110,635,https://qiita.com/katsu1110/items/423fc9ac567710a1bd9b,3
0000/01/30 16:38:42,mizunototori,5,https://qiita.com/mizunototori/items/880d2d6e91b7f291e11e,2
0000/01/31 11:35:23,mizunototori,9,https://qiita.com/mizunototori/items/38291518110849e91a4c,2
0000/01/31 17:10:06,AraNeco,3,https://qiita.com/AraNeco/items/fc001c205955734109ac,0
0000/02/01 10:51:38,tommyecguitar,8,https://qiita.com/tommyecguitar/items/dced11d28007d07edf95,0
0000/02/01 15:25:55,Inoue_Minoru,12,https://qiita.com/Inoue_Minoru/items/191a6f76c97591e87be8,0
0000/02/01 20:30:22,KOICHI_5963,7,https://qiita.com/KOICHI_5963/items/20ba0ed5b9073b6b03a0,0
0000/02/02 20:54:39,eigs,49,https://qiita.com/eigs/items/c1675e6dc6fd497e714a,0
0000/02/03 18:45:03,teruqii,8,https://qiita.com/teruqii/items/447d09d10e24fca0c20f,0
0000/02/03 20:51:00,mana_544,17,https://qiita.com/mana_544/items/71c0024c3229dd9bacc6,0
0000/02/03 22:42:57,KOICHI_5963,14,https://qiita.com/KOICHI_5963/items/b6233963368da0ecc071,0
0000/02/04 08:33:24,7of9,0,https://qiita.com/7of9/items/fb40f0497e129b434505,2
0000/02/04 09:06:28,7of9,0,https://qiita.com/7of9/items/c100bb2df0af001b2773,2
0000/02/04 10:59:18,bendevs,5,https://qiita.com/bendevs/items/4edccbb9c35ec70a98b8,0
0000/02/04 14:48:38,ossyaritoori,0,https://qiita.com/ossyaritoori/items/53f99de6d5d7500253d6,2
0000/02/06 04:21:11,katsu1110,50,https://qiita.com/katsu1110/items/23b8a37ac400dd0eaad2,3
0000/02/07 01:23:44,stozaki,15,https://qiita.com/stozaki/items/4bacb2e988c74f7a16e4,0
0000/02/07 19:02:30,shigepong,5,https://qiita.com/shigepong/items/9c9a45a430e2edafc0c6,6
0000/02/07 19:08:15,shigepong,1,https://qiita.com/shigepong/items/6c464a20d5fcafa83911,6
0000/02/08 17:16:49,KOICHI_5963,3,https://qiita.com/KOICHI_5963/items/5041eb7df12125d5e1ba,0
0000/02/08 19:10:45,enoughspacefor,2,https://qiita.com/enoughspacefor/items/01f7ed446a4ccfca5972,0
0000/02/08 21:23:09,motorcontrolman,24,https://qiita.com/motorcontrolman/items/03ea4d2a978d626f4337,0
0000/02/09 00:26:38,ginger893,2,https://qiita.com/ginger893/items/0e2cd95cca71e8f5a7f4,1
0000/02/09 01:58:45,karadaharu,2,https://qiita.com/karadaharu/items/463c34b1684179cd35ae,3
0000/02/10 06:10:32,eigs,33,https://qiita.com/eigs/items/cf3a64f7248bce76ce53,0
0000/02/11 13:49:00,kouichi-c-nakamura,12,https://qiita.com/kouichi-c-nakamura/items/6233d78180a9f5e5f4ce,3
0000/02/13 13:47:36,aoimidori,12,https://qiita.com/aoimidori/items/644ac0e726d60a99cc4a,0
